"id","question_id","choice_text","correct"
1,1,"Webクライアントで実行されるプログラミング言語である","0"
2,1,"Webブラウザに新しいウィンドウをポップアップさせる機能をもつ","0"
3,1,"プログラムをコンパイルせずに実行する","1"
4,1,"常に同じ静的なページを生成する","0"
5,2,"PHPはライセンス料を支払えば誰でも使用することができる","1"
6,2,"PHPはほとんどのLinuxディストリビューションに同梱されている","0"
7,2,"PHPはオープンソースである","0"
8,2,"PHPは広範なデータベースをサポートする","0"
9,3,"Windows環境でのみ使用することができる","0"
10,3,"Windows、macOS環境でのみ使用することができる","0"
11,3,"Linux、Solaris、その他のバージョンのUNIX環境でのみ使用することができる","0"
12,3,"Windows、macOS、Linux、Solaris、あらゆるバージョンのUNIX環境すべてで使用することができる","1"
13,12,"1秒","0"
14,12,"5秒","0"
15,12,"10秒","0"
16,12,"落とした時点でアウト","1"
17,13,"湿気予防のため","1"
18,13,"食感が良いから","0"
19,13,"香りが良いから","0"
20,13,"色合いのため","0"
21,14,"銀座","0"
22,14,"優先席","1"
23,14,"銀歯","0"
24,14,"白髪","0"
25,15,"黒色","0"
26,15,"白色","0"
27,15,"オレンジ色","1"
28,15,"緑色","0"
29,16,"ルイヴィトン","1"
30,16,"エルメス","0"
31,16,"プラダ","0"
32,16,"ロレックス","0"
33,17,"富士山","0"
34,17,"鳥取砂丘","0"
35,17,"清水寺","0"
36,17,"琵琶湖","1"
37,18,"津波","0"
38,18,"台風","1"
39,18,"火山の噴火","0"
40,18,"雪崩","0"
41,19,"紫式部","0"
42,19,"清少納言","0"
43,19,"聖徳太子","0"
44,19,"作者不明","1"
45,20,"食い逃げ","0"
46,20,"つまみ食い","0"
47,20,"おなら","1"
48,20,"個人情報の流出","0"
49,21,"怠け者","1"
50,21,"働き者","0"
51,21,"親不孝者","0"
52,21,"幸せ者","0"
53,22,"約6万円","0"
54,22,"約50万円","0"
55,22,"約400万円","1"
56,23,"ピースサイン","0"
57,23,"袖で手を隠す","1"
58,23,"両手で頬を触る","0"
59,24,"高利貸","1"
60,24,"警察官","0"
61,24,"料理人","0"
62,25,"折り紙","1"
63,25,"メンコ","0"
64,25,"お手玉","0"
65,26,"カステラ","0"
66,26,"パフェ","0"
67,26,"あんパン","1"
68,27,"坊主","0"
69,27,"散切り","1"
70,27,"ちょんまげ","0"
71,28,"カメ","1"
72,28,"ツル","0"
73,28,"イカ","0"
74,29,"牛乳を飲むと足が遅くなる","0"
75,29,"牛乳を飲むと力仕事以外ができなくなる","0"
76,29,"赤ちゃんに牛乳を飲ませると2足歩行できなくなる","1"
77,30,"シロ","0"
78,30,"タマ","0"
79,30,"猫","1"
80,31,"黒い塗料が高額だから","0"
81,31,"黒だと夜間見づらいから","1"
82,31,"喪服を連想させて縁起が悪いから","0"
83,4,"PHPはApacheでのみ動作する","0"
84,4,"PHPはMicrosoft Internet Infomation Services（IIS）でのみ動作する","0"
85,4,"CGI規格をサポートするWebサーバであれば動作する","1"
86,4,"どのようなWebサーバでも動作する","0"
87,5,"&lt;php
&gt;","0"
88,5,"&lt;?php
?&gt;","1"
89,5,"&lt;php
/php&gt;","0"
90,5,"&lt;?php
/?&gt;","0"
91,6,"プログラムを見やすくするため、プログラムとプログラムの間には必ず1行ずつ空行を入れる","0"
92,6,"プログラムの文末には終了を表すコロン「;」を記述する","1"
93,6,"プログラムと同じ行の後ろに行コメントを記述することができる","0"
94,6,"コメントを記述するとプログラムが長くなるため、あまり記述すべきではない","0"
95,7,"複数行コメントは「/*」と「*/」で囲む","0"
96,7,"複数行コメントは「&lt;!--」と「--&gt;」で囲む","1"
97,7,"行コメントは「#」以降にコメントを記述する","0"
98,7,"行コメントは「//」以降にコメントを記述する","0"
99,8,"PRINT NUMBER_FORMAT(12345);","0"
100,8,"Print Number_Format(12345);","0"
101,8,"$data = number_format(12345);
echo $data","0"
102,8,"$data = number_format(12345);
echo $DATA;","1"
103,9,"スペース","0"
104,9,"スペースとタブ","0"
105,9,"タブと改行","0"
106,9,"スペースとタブと改行","1"
107,32,"アクセス権を制限してアクセスできる人や機器を特定する。","1"
108,32,"Webサーバのデータの改ざんや破壊が行われていないことや、機器の設定内容が不正に書き換えられていないことをチェックする。","0"
109,32,"バックアップの機器やデータを用意しておき、脅威が起こった時には切り替えて対応できるようにする。","0"
110,32,"機密情報を保存しているハードディスクを二重化する。","0"
111,33,"COOとは、個人情報取扱事業者において、個人データの安全管理の実施及び運用に関する責任及び権限を有する者として任命される、個人情報保護管理者のことである。","0"
112,33,"CFOとは、個人情報取扱事業者において、個人データの安全管理の実施及び運用に関する責任及び権限を有する者として任命される、個人情報保護管理者のことである。","0"
113,33,"CPOとは、個人情報取扱事業者において、個人データの安全管理の実施及び運用に関する責任及び権限を有する者として任命される、個人情報保護管理者のことである。","1"
114,33,"CTOとは、個人情報取扱事業者において、個人データの安全管理の実施及び運用に関する責任及び権限を有する者として任命される、個人情報保護管理者のことである。","0"
115,34,"コンピュータプログラムの不備をついて、アクセスを試みる","0"
116,34,"他人のユーザID・パスワードなどを無断で正規のユーザ以外に提供する","1"
117,34,"電子メールによりユーザID・パスワードなどを詐取しようとする","0"
118,34,"スタンドアロンのパソコンのログインパスワードを解読する","0"
119,35,"目的に対する不確かさの影響","1"
120,35,"一つ以上の脅威によって付け込まれる可能性のある、資産又は管理策の弱点","0"
121,35,"システム又は組織に損害を与える可能性がある、望ましくないインシデントの潜在的な原因","0"
122,35,"ある一連の周辺状況の出現又は変化","0"
123,36,"〇","0"
124,36,"×","1"
125,37,"（ａ）MAN（ｂ）リモートロック（ｃ）ローカルスコープ","0"
126,37,"（ａ）MAN（ｂ）リモートプロシージャコール（ｃ）ローカルワイプ","0"
127,37,"（ａ）MDM（ｂ）リモートロック（ｃ）ローカルワイプ","1"
128,37,"（ａ）MDM（ｂ）リモートプロシージャコール（ｃ）ローカルスコープ","0"
129,38,"〇","0"
130,38,"×","1"
131,39,"業務でSNSを利用できる部門を限定し、情報を管理する。例えば、広報部門、商品企画部門、カスタマーサポート部門などに限定する。","0"
132,39,"SNSの利用目的とその範囲を明確化する。例えば、顧客からの問合せに対する返信や、新商品やキャンペーンなどの情報の発信などの業務目的に限定し、それ以外での情報発信を禁止するなどの規定を明確にする。","0"
133,39,"投稿する内容の検査や精査を、投稿前に行う。例えば、投稿する内容の担当者によるチェックをあらかじめ行い、禁止事項などが含まれていないかの確認を行う。","0"
134,39,"自社の公式アカウントのフォロワーへの対応を、柔軟に行う。例えば、フォロワーからのコメントに充分な注意を払い、随時対応ができるように、特に担当窓口は設けず、すべての従業員が自主的に対応できるようにする。","1"
135,40,"本州","0"
136,40,"九州","1"
137,40,"四国","0"
138,41,"福岡市","1"
139,41,"飯塚市","0"
140,41,"北九州市","0"
141,42,"飯塚市","0"
142,42,"北九州市","1"
143,42,"久留米市","0"
144,43,"明 太子(めん たいこ)","0"
145,43,"明太大臣(めんたいだいじん)","0"
146,43,"聖徳明太子(しょうとくめんたいし)","1"
147,44,"3つ","0"
148,44,"4つ","0"
149,44,"5つ","1"
150,45,"ウメ","1"
151,45,"チューリップ","0"
152,45,"サクラ","0"
153,46,"九州大学","1"
154,46,"長崎大学","0"
155,46,"佐賀大学","0"
156,47,"消滅しない都道府県ランキング","0"
157,47,"竹炭の生産量ランキング","1"
158,47,"消費者金融が多い都道府県ランキング","0"
159,48,"わかってるわ！","0"
160,48,"嫌だ！","0"
161,48,"うるさいわ！","1"
162,49,"福岡 Yahoo! JAPANドーム","0"
163,49,"福岡ヤフオク！ドーム","0"
164,49,"福岡PayPayドーム","1"
165,50,"313万","0"
166,50,"513万","1"
167,50,"713万","0"
168,51,"234ｍ","1"
169,51,"333ｍ","0"
170,51,"634ｍ","0"
171,52,"恋愛","0"
172,52,"学問","1"
173,52,"子宝","0"
174,53,"カナリヤ","0"
175,53,"ウグイス","1"
176,53,"すずめ","0"
177,54,"播磨灘(はりまなだ)","0"
