"id","question_text","description"
1,"PHPの動作として正しいものを選択してください。","PHPの特徴に関する問題です。
PHPは、プログラムをコンパイルせずに実行するスクリプト言語です（C）。また、動的なWebページの生成が可能なため、HTMLに埋め込み、Webアプリケーションの開発に利用することができます（D）。

PHPはWebサーバで実行されることから、サーバサイドスクリプト言語といわれｔれいます（Ａ）。これに対して、JavaScriptのような言語はWebクライアントで実行されるためクライアントサイドと呼ばれ、Webブラウザに新しいウィンドウをポップアップさせる機能などをもちます（Ｂ）。"
2,"PHPの特徴として誤っているものを選択してください。","PHPの特徴に関する問題です。
PHPを使用する際に、ライセンス料はかかりません（A）。
PHPは、ほとんどのLinuxディストリビューションに同梱されています（B）。インストールされていなかったり、ほかのOSを利用したりする場合は、PHPをダウンロードして利用することができます。
PHPはオープンソースです。ソースコードが公開されているため、誰でもPHPの内部を見ることができます（C）。
またPHPは、SQLiteをはじめPostgreSQL、MySQL、Oracle Database、Microsoft SQL Serverのほか、多くのデータベースをサポートしています（D）。"
3,"PHPの実行環境の説明として正しいものを選択してください。","PHPの動作環境に関する問題です。
PHPはクロスプラットフォームに対応しているので、Windows、macOS、Linux、Solaris、あらゆるバージョンのUNIX環境すべてで使用することができます（D）。"
4,"PHPが動作するWebサーバの説明として正しいものを選択してください。","PHPの動作環境に関する問題です。
Webサーバとして最も人気があるのはApacheですが、Microsoft Internet Information Services（IIS）や、その他、CGI規格をサポートするWebサーバであれば使用することができます（C）。
CGI規格をサポートするWebサーバを使用することにより、Webサーバで実行されたプログラムの処理結果に基づいた動的なWebページの生成が可能です。"
5,"PHPの開始と修了を表すタグの組み合わせとしいて正しいものを選択してください。","PHPの記述法に関する問題です。"
6,"PHPの記述方法として正しいものを選択してください。","PHPの記述法に関する問題です。
行コメントは、コメントを指定する記号以降をコメントとして処理できるため、PHPプログラムと同じ行の行末に記述することができます（C）。

プログラムの可読性を高めるために、文と文の間に空行を挿入することができます。PHPでは、空行は無視されるため、入れても入れなくても実行結果に影響はありませんが、入れすぎると可読性を低下させます（A）。
PHPプログラムの文末には、終了を表すセミコロン「;」を記述します（B）。
コメントは、プログラムの動作を説明する手法です。後でプログラムを修正する際に役立つので、できるだけ多くのコメントを記述することが望ましいといえます（D）。"
7,"PHPのコメントの説明として誤っているものを選択してください。","コメントに関する問題です。
PHPでは、コメントを記述する際、複数行コメントは「/*」と「*/」で囲みます（A）。行コメントは「#」または「//」以降に記述することができます（C、D）。
コメントは、プログラムの説明を記述するほか、一時的にプログラムの一部を無効にする際にも利用します。
「&lt;!--」と「--&gt;」は、HTMLのコメントを記述する際に利用します（B）。"
8,"print number_format(12345); と同様の処理をするプログラムとして誤っているものを選択してください。","大文字と小文字の区別に関する問題です。
PHPでは、言語のキーワード（printなど）と関数名の大文字と小文字は区別する必要はありません（A）。また、大文字と小文字が混在している場合でも区別なく処理することができます（B）。これば、どのプラットフォームでも共通です。
ただし、変数名の大文字と小文字は区別する必要があります（C、D）。"
9,"PHPで利用できるホワイトスペースの組み合わせとして最も適切なものを選択してください。","ホワイトスペースに関する問題です。
ホワイトスペースとは、半角スペースやタブのように空白に見える文字や、改行や空行のように目に見えない文字を指します（D）。

PHPでは、複数の文を続けて記述することも、文と文との間に好きなだけ空行を入れることも可能です。文と文の間にあるホワイトスペースは無視されるため、いくらホワイトスペースがあってもプログラムの実行には影響しません。
プログラム中に適度なホワイトスペースを入れることでプログラム全体の可読性を高めることができますが、多用しすぎるとかえって見づらくなります。
なお、全角スペースは、ホワイトスペースとはみなされません。"
10,"変数名の前に付ける記号として正しいものを選択してください。","変数の指定に関する問題です。
変数とは、プログラムが動作する際に使用する値を保存する箱のようなものです。変数を管理するために付ける名前を変数名と呼び、変数名の前に「$」を付けて変数を表します（C）。
「%」は剰余算に使用する記号で、割り算の余りを求める際に利用します（A）。「#」はコメントを記述する際に使用する記号です（B）。"
